10038,3,74000
10008,2,79000
10043,3,89000
10012,5,23000
10019,3,36000
10023,3,81000
10007,1,103000
10034,4,32000
10031,2,148000
10027,5,19000
10011,2,141000
10001,1,86000
10044,5,17000
10039,1,235000
10047,1,160000
10033,2,62000
10018,2,147000
10013,2,107000
10029,5,16000
10020,1,177000
10049,1,134000
10022,3,68000
10006,4,17000
10050,5,32000
10005,1,231000
10004,1,219000
10002,3,45000
10025,5,13000
10003,2,67000
10040,2,118000
10037,3,43000
10041,2,70000
10015,1,120000
10024,1,197000
10046,1,138000
10028,5,21000
10045,3,83000
10035,4,38000
10036,2,97000
10016,4,36000
10009,5,29000
10017,3,39000
10010,1,223000
10030,1,91000
10048,4,32000
10026,4,20000
10032,3,35000
10042,4,39000
10014,5,18000
10021,1,171000
